p: 0.000000 0.000000 -5.000000
co->n: 0.000000 1.000000 0.000000
ph: -0.210553 0.166726 1.622184, result: 0.166726
ph: -0.199568 0.170057 1.621634, result: 0.170057
ph: -0.188455 0.173250 1.621108, result: 0.173250
ph: -0.177209 0.176299 1.620605, result: 0.176299
ph: -0.165821 0.179199 1.620126, result: 0.179199
ph: -0.154287 0.181944 1.619673, result: 0.181944
ph: -0.142597 0.184527 1.619247, result: 0.184527
ph: -0.130746 0.186941 1.618849, result: 0.186941
ph: -0.118723 0.189178 1.618480, result: 0.189178
ph: -0.589976 0.002131 1.627166, result: 0.002131
ph: -0.581605 0.008816 1.626078, result: 0.008816
ph: -0.573204 0.015449 1.624998, result: 0.015449
ph: -0.564771 0.022027 1.623928, result: 0.022027
ph: -0.556306 0.028551 1.622866, result: 0.028551
ph: -0.547807 0.035019 1.621813, result: 0.035019
ph: -0.539274 0.041431 1.620770, result: 0.041431
ph: -0.530705 0.047785 1.619735, result: 0.047785
ph: -0.522099 0.054082 1.618711, result: 0.054082
ph: -0.513455 0.060319 1.617696, result: 0.060319
ph: -0.504772 0.066496 1.616690, result: 0.066496
ph: -0.496048 0.072612 1.615695, result: 0.072612
ph: -0.487283 0.078665 1.614710, result: 0.078665
ph: -0.478474 0.084656 1.613735, result: 0.084656
ph: -0.469622 0.090581 1.612770, result: 0.090581
ph: -0.460723 0.096441 1.611817, result: 0.096441
ph: -0.451776 0.102234 1.610874, result: 0.102234
ph: -0.442781 0.107958 1.609942, result: 0.107958
ph: -0.433735 0.113613 1.609022, result: 0.113613
ph: -0.424636 0.119196 1.608113, result: 0.119196
ph: -0.415483 0.124707 1.607216, result: 0.124707
ph: -0.406274 0.130143 1.606332, result: 0.130143
ph: -0.397007 0.135503 1.605459, result: 0.135503
ph: -0.387680 0.140786 1.604600, result: 0.140786
ph: -0.378291 0.145989 1.603753, result: 0.145989
ph: -0.368837 0.151110 1.602919, result: 0.151110
ph: -0.359317 0.156148 1.602099, result: 0.156148
ph: -0.349728 0.161101 1.601293, result: 0.161101
ph: -0.340067 0.165966 1.600501, result: 0.165966
ph: -0.330331 0.170740 1.599724, result: 0.170740
ph: -0.320519 0.175422 1.598962, result: 0.175422
ph: -0.310626 0.180009 1.598216, result: 0.180009
ph: -0.300650 0.184499 1.597485, result: 0.184499
ph: -0.290588 0.188887 1.596771, result: 0.188887
ph: -0.280435 0.193172 1.596074, result: 0.193172
ph: -0.270190 0.197349 1.595394, result: 0.197349
