p: 0.000000 0.000000 -5.000000
co->n: 0.000000 1.000000 0.000000
ph: 0.178236 -1.986282 2.873308, result: -1.986282
ph: 0.190574 -1.986762 2.872794, result: -1.986762
ph: 0.202921 -1.987275 2.872245, result: -1.987275
ph: 0.215279 -1.987820 2.871661, result: -1.987820
ph: 0.227647 -1.988398 2.871042, result: -1.988398
ph: 0.240025 -1.989009 2.870388, result: -1.989009
ph: 0.252416 -1.989654 2.869698, result: -1.989654
ph: 0.264819 -1.990331 2.868973, result: -1.990331
ph: 0.277235 -1.991042 2.868212, result: -1.991042
ph: 0.289665 -1.991786 2.867415, result: -1.991786
ph: 0.302109 -1.992564 2.866582, result: -1.992564
ph: 0.314568 -1.993375 2.865713, result: -1.993375
ph: 0.327043 -1.994221 2.864808, result: -1.994221
ph: 0.339534 -1.995101 2.863866, result: -1.995101
ph: 0.352042 -1.996015 2.862887, result: -1.996015
ph: 0.364568 -1.996964 2.861871, result: -1.996964
ph: 0.377111 -1.997947 2.860818, result: -1.997947
ph: 0.389674 -1.998966 2.859727, result: -1.998966
ph: -0.479281 -1.999153 2.846191, result: -1.999153
ph: -0.466535 -1.997880 2.847563, result: -1.997880
ph: -0.453813 -1.996643 2.848895, result: -1.996643
ph: -0.441114 -1.995443 2.850188, result: -1.995443
ph: -0.428439 -1.994280 2.851441, result: -1.994280
ph: -0.415785 -1.993152 2.852656, result: -1.993152
ph: -0.403152 -1.992061 2.853832, result: -1.992061
ph: -0.390541 -1.991004 2.854970, result: -1.991004
ph: -0.377949 -1.989984 2.856070, result: -1.989984
ph: -0.365376 -1.988998 2.857132, result: -1.988998
ph: -0.352821 -1.988047 2.858156, result: -1.988047
ph: -0.340285 -1.987131 2.859143, result: -1.987131
ph: -0.327765 -1.986249 2.860093, result: -1.986249
ph: -0.315262 -1.985402 2.861006, result: -1.985402
ph: -0.302775 -1.984589 2.861882, result: -1.984589
ph: -0.290303 -1.983809 2.862722, result: -1.983809
ph: -0.277845 -1.983064 2.863525, result: -1.983064
ph: -0.265401 -1.982351 2.864292, result: -1.982351
ph: -0.252970 -1.981673 2.865024, result: -1.981673
ph: -0.240552 -1.981027 2.865719, result: -1.981027
ph: -0.228145 -1.980415 2.866379, result: -1.980415
ph: -0.215750 -1.979835 2.867003, result: -1.979835
ph: -0.203365 -1.979289 2.867592, result: -1.979289
ph: -0.190990 -1.978775 2.868145, result: -1.978775
ph: -0.178625 -1.978294 2.868664, result: -1.978294
ph: -0.166268 -1.977846 2.869147, result: -1.977846
ph: -0.153920 -1.977429 2.869595, result: -1.977429
ph: -0.141579 -1.977046 2.870009, result: -1.977046
ph: -0.129245 -1.976694 2.870387, result: -1.976694
ph: -0.116917 -1.976375 2.870731, result: -1.976375
ph: -0.104594 -1.976087 2.871041, result: -1.976087
